,,,,,,
,link,title,snippet,date,source,"O,X"
,https://www.lockheedmartin.com/en-us/news/features/2024/5-ways-the-famed-q-53-multimission-radar-is-adapting-to-modern-threats.html,5 Ways the Famed Q-53 Multimission Radar is Adapting to Mode,"With a long, rich history of protecting the U.S. Army, the Q-53 radar has entered the next phase of its life to detect and deter evolving threats.",9 hours ago,Lockheed Martin,3
,https://www.taiwannews.com.tw/news/5895881,Radar Sensor Market Evolution Emerging Technologies and Trends for 2032,"The global Radar Sensor Market is anticipated to reach USD 44.4 billion by 2026 according to a new research published by Report Ocean Market Research.",6 days ago,Taiwan News,3
,https://www.hackster.io/news/diving-deep-into-the-rcwl-0516-sub-1-microwave-radar-and-turning-it-into-an-s-band-transmitter-cc47b8df3d0d,"Diving Deep Into the RCWL-0516 Sub-$1 Microwave Radar — and Turning It into an S-Band Transmitter","What lies inside the RCWL-0516? A dual oscillator circuit and, surprisingly, an infrared motion sensor chip, 10maurycy10 finds.",18 hours ago,Hackster.io,3
,https://www.openpr.com/news/3556331/new-radar-sensor-for-collision-avoidance-positioning,"New radar sensor for collision avoidance & positioning: OndoSense WA detects objects at close range from 0.1 m","Press release - OndoSense - New radar sensor for collision avoidance & positioning: OndoSense WA detects objects at close range from 0.1 m - published on...",4 days ago,openPR.com,1
,https://blog.adafruit.com/2024/07/01/inside-and-hacking-a-1-dollar-radar-motion-sensor/,Inside (and hacking) a 1 dollar radar motion sensor,"10maurycy10 recently bought some cheap RCWL-0516 microwave motion sensors, mostly wondering how China managed to make a radar for under a dollar.",14 hours ago,Adafruit Industries,3
,https://www.techradar.com/phones/samsung-galaxy-phones/samsung-unveils-a-powerful-new-200mp-telephoto-camera-sensor-that-could-be-heading-to-the-galaxy-s25-ultra,"Samsung unveils a powerful new 200MP telephoto camera sensor that could be heading to the Galaxy S25 Ultra","We're unlikely to see the Samsung Galaxy S25 unveiled before January 2025, but in the meantime, Samsung has unveiled a trio of new mobile camera lenses...",4 days ago,TechRadar,3
,https://militaryembedded.com/radar-ew/sensors/air-traffic-control-radar-achieves-operational-capability-for-australian-air-force,"Air traffic control radar achieves operational capability for Australian Air Force","CANBERRA, Australia. Hensoldt Australia achieved a milestone for the AIR5431 Phase 2 program by introducing a new Air Traffic Control (ATC) sensor into...",5 days ago,Military Embedded Systems,3
,https://hackaday.com/2024/07/01/so-much-going-on-in-so-few-components-dissecting-a-microwave-radar-module/,So Much Going On In So Few Components: Dissecting A Microwave Radar Module,"In the days before integrated circuits became ubiquitous, providing advanced functionality in a single package, designers became adept at extracting the...",3 hours ago,Hackaday,3
,https://www.allaboutcircuits.com/news/my-highlights-from-sensors-converge-2024/,My Favorites From Sensors Converge 2024 - News,"A short recap of some of the most interesting technologies I was able to see while walking the show floor this year.",3 days ago,All About Circuits,2
,https://www.cnx-software.com/2024/06/28/infineon-cy8ckit-062s2-ai-psoc-6-edge-ai-evaluation-kit-multiple-sensors-arduino-pmod/,"Infineon CY8CKIT-062S2-AI PSoC 6 Edge AI evaluation kit features multiple sensors, Arduino headers, Pmod connectors","Infineon CY8CKIT-062S2-AI evaluation kit is a hardware platform built around the PSoC 6 family of MCUs and designed to help developers easily create and.",4 days ago,CNX Software,3
,https://www.pandct.com/news/the-benefits-of-using-guided-wave-radar-for-level-sensing-in-harsh-environments,"The benefits of using Guided Wave Radar for level sensing in harsh environments","01/07/2024 ABB Limited (Zurich). Guided wave radar (GWR) is a leading technology for measuring levels in tanks, silos, and vessels, especially for...",1 day ago,Process and Control Today,1
,http://www.labnews.co.uk/article/2095746/six-pioneers-shortlisted-for-350-000-af-harvey-prize,"Six pioneers shortlisted for £350,000 AF Harvey prize","Six leading international researchers have been shortlisted as nominees for the Institution of Engineering and Technology's (IET) prestigious &pou...",21 hours ago,Laboratory News,3
,https://www.wicz.com/story/50954463/underground-parking-lot-lighting-market-size-2024-2030-pages-127,Underground Parking Lot Lighting Market Size 2024-2030 Pages [127],"What is the Underground Parking Lot Lighting Market growth? The Underground Parking Lot Lighting market is estimated to expand at an unexpected CAGR from...",5 days ago,WICZ,3
